最高,最低,风力,AQI
8℃,-4℃,3,42
8℃,-4℃,3,110
7℃,-4℃,3,46
6℃,-4℃,3,27
6℃,-4℃,3,28
5℃,-4℃,3,40
8℃,5℃,3,401
18℃,5℃,3,38
16℃,5℃,3,86
7℃,-5℃,3,38
7℃,-5℃,3,95
5℃,-5℃,3,28
5℃,-5℃,3,71
5℃,-5℃,3,89
4℃,-5℃,3,35
4℃,-5℃,3,45
5℃,-6℃,3,53
4℃,-6℃,3,28
4℃,-6℃,3,30
4℃,-6℃,3,47
3℃,-6℃,3,29
3℃,-6℃,3,34
22℃,7℃,3,66
4℃,-7℃,3,47
2℃,-7℃,3,31
1℃,-7℃,3,108
24℃,8℃,3,141
22℃,8℃,3,141
21℃,8℃,3,39
18℃,8℃,3,35
2℃,-8℃,3,144
1℃,-8℃,3,25
15℃,9℃,3,51
0℃,-9℃,3,26
6℃,0℃,2,90
11℃,0℃,2,76
10℃,0℃,2,34
25℃,10℃,2,126
23℃,10℃,2,52
18℃,10℃,2,113
0℃,-10℃,2,38
26℃,11℃,2,100
25℃,11℃,2,73
22℃,11℃,2,75
21℃,11℃,2,77
20℃,11℃,2,81
20℃,11℃,2,125
16℃,11℃,2,93
25℃,12℃,2,158
25℃,13℃,2,59
22℃,13℃,2,94
18℃,13℃,2,173
28℃,14℃,2,42
27℃,14℃,2,47
26℃,14℃,2,91
20℃,14℃,2,58
20℃,14℃,2,107
28℃,15℃,2,53
29℃,16℃,2,42
29℃,16℃,2,45
27℃,16℃,2,141
31℃,17℃,2,82
30℃,17℃,2,63
30℃,17℃,2,65
29℃,17℃,2,65
29℃,17℃,2,90
28℃,17℃,2,37
28℃,17℃,2,119
31℃,18℃,2,46
31℃,18℃,2,74
30℃,18℃,2,59
28℃,18℃,2,90
28℃,18℃,2,110
27℃,18℃,2,68
27℃,18℃,2,71
22℃,18℃,2,36
36℃,19℃,2,67
34℃,19℃,2,103
33℃,19℃,2,106
30℃,19℃,2,68
28℃,19℃,2,52
28℃,19℃,2,77
28℃,19℃,2,103
28℃,19℃,2,123
27℃,19℃,2,76
27℃,19℃,2,106
26℃,19℃,2,157
24℃,19℃,2,38
7℃,-1℃,2,77
30℃,20℃,2,138
28℃,20℃,2,120
28℃,20℃,2,126
34℃,21℃,2,100
33℃,21℃,2,57
31℃,21℃,2,71
31℃,21℃,2,77
30℃,21℃,2,127
34℃,22℃,2,79
33℃,22℃,2,79
31℃,22℃,2,48
31℃,22℃,2,50
30℃,22℃,2,55
30℃,22℃,2,58
29℃,22℃,2,45
29℃,22℃,2,52
29℃,22℃,2,64
29℃,22℃,2,74
28℃,22℃,2,85
28℃,22℃,2,100
34℃,23℃,2,117
32℃,23℃,2,57
32℃,23℃,2,64
31℃,23℃,2,73
31℃,23℃,2,113
30℃,23℃,2,45
30℃,23℃,2,77
30℃,23℃,2,85
29℃,23℃,2,64
29℃,23℃,2,64
28℃,23℃,2,62
38℃,24℃,2,82
35℃,24℃,2,41
35℃,24℃,2,141
34℃,24℃,2,44
33℃,24℃,2,38
32℃,24℃,2,101
30℃,24℃,2,95
28℃,24℃,2,38
36℃,25℃,2,62
36℃,25℃,2,96
35℃,25℃,2,109
34℃,25℃,2,64
34℃,25℃,2,77
33℃,25℃,2,90
33℃,25℃,2,124
31℃,25℃,2,99
15℃,2℃,2,38
15℃,2℃,2,39
14℃,2℃,2,35
9℃,-2℃,2,223
9℃,-2℃,2,303
3℃,-2℃,2,191
17℃,3℃,2,80
16℃,3℃,2,88
14℃,3℃,2,55
9℃,-3℃,2,139
8℃,-3℃,2,222
7℃,-3℃,2,41
7℃,-3℃,2,91
16℃,4℃,2,53
16℃,4℃,2,82
15℃,4℃,2,202
8℃,-4℃,2,29
8℃,-4℃,2,31
8℃,-4℃,2,54
7℃,-4℃,2,31
7℃,-4℃,2,34
7℃,-4℃,2,45
7℃,-4℃,2,67
6℃,-4℃,2,41
6℃,-4℃,2,60
6℃,-4℃,2,185
5℃,-4℃,2,39
5℃,-4℃,2,62
5℃,-4℃,2,112
5℃,-4℃,2,217
2℃,-4℃,2,282
1℃,-4℃,2,102
10℃,-4℃,2,116
20℃,5℃,2,187
17℃,5℃,2,47
17℃,5℃,2,94
16℃,5℃,2,54
15℃,5℃,2,35
7℃,-5℃,2,54
7℃,-5℃,2,115
6℃,-5℃,2,90
6℃,-5℃,2,365
5℃,-5℃,2,84
5℃,-5℃,2,93
5℃,-5℃,2,109
4℃,-5℃,2,29
4℃,-5℃,2,177
4℃,-5℃,2,324
1℃,-5℃,2,39
1℃,-5℃,2,126
0℃,-5℃,2,50
17℃,6℃,2,152
16℃,6℃,2,24
11℃,6℃,2,15
6℃,-6℃,2,124
1℃,-6℃,2,37
19℃,7℃,2,278
18℃,7℃,2,60
15℃,7℃,2,174
13℃,7℃,2,56
4℃,-7℃,2,115
3℃,-7℃,2,37
2℃,-7℃,2,51
19℃,8℃,2,37
19℃,8℃,2,94
18℃,8℃,2,91
16℃,8℃,2,63
1℃,-8℃,2,49
22℃,9℃,2,56
20℃,9℃,2,35
18℃,9℃,2,35
18℃,9℃,2,79
18℃,9℃,2,214
15℃,9℃,2,141
13℃,9℃,2,38
9℃,0℃,1,125
24℃,10℃,1,77
20℃,10℃,1,30
19℃,10℃,1,96
19℃,10℃,1,114
17℃,10℃,1,130
-3℃,-10℃,1,73
26℃,11℃,1,92
20℃,11℃,1,66
15℃,11℃,1,59
15℃,11℃,1,141
23℃,12℃,1,165
22℃,12℃,1,70
21℃,12℃,1,60
21℃,12℃,1,163
18℃,12℃,1,117
17℃,12℃,1,58
17℃,12℃,1,246
26℃,13℃,1,47
25℃,13℃,1,29
23℃,13℃,1,107
23℃,13℃,1,282
26℃,14℃,1,37
25℃,14℃,1,110
24℃,14℃,1,125
19℃,14℃,1,101
31℃,15℃,1,206
29℃,15℃,1,130
28℃,15℃,1,55
28℃,15℃,1,152
21℃,15℃,1,39
25℃,16℃,1,83
24℃,16℃,1,90
31℃,17℃,1,93
29℃,17℃,1,33
29℃,17℃,1,95
28℃,17℃,1,161
26℃,17℃,1,241
25℃,17℃,1,63
31℃,18℃,1,40
30℃,18℃,1,68
30℃,18℃,1,85
30℃,18℃,1,111
29℃,18℃,1,85
29℃,18℃,1,191
28℃,18℃,1,93
28℃,18℃,1,113
26℃,18℃,1,54
26℃,18℃,1,133
24℃,18℃,1,55
23℃,18℃,1,40
32℃,19℃,1,52
32℃,19℃,1,248
31℃,19℃,1,46
31℃,19℃,1,66
31℃,19℃,1,156
29℃,19℃,1,61
28℃,19℃,1,157
9℃,1℃,1,137
12℃,1℃,1,132
6℃,-1℃,1,206
5℃,-1℃,1,85
10℃,-1℃,1,52
10℃,-1℃,1,52
35℃,20℃,1,110
31℃,20℃,1,118
30℃,20℃,1,142
30℃,20℃,1,182
29℃,20℃,1,145
27℃,20℃,1,82
26℃,20℃,1,214
33℃,21℃,1,88
32℃,21℃,1,74
32℃,21℃,1,77
32℃,21℃,1,126
31℃,21℃,1,42
31℃,21℃,1,44
30℃,21℃,1,40
30℃,21℃,1,93
28℃,21℃,1,55
35℃,22℃,1,38
34℃,22℃,1,55
33℃,22℃,1,135
32℃,22℃,1,39
32℃,22℃,1,116
31℃,22℃,1,97
26℃,22℃,1,128
24℃,22℃,1,63
34℃,23℃,1,117
33℃,23℃,1,152
32℃,23℃,1,85
32℃,23℃,1,91
32℃,23℃,1,102
32℃,23℃,1,106
32℃,23℃,1,121
31℃,23℃,1,60
31℃,23℃,1,81
29℃,23℃,1,37
29℃,23℃,1,65
29℃,23℃,1,82
36℃,24℃,1,75
35℃,24℃,1,80
33℃,24℃,1,82
33℃,24℃,1,86
33℃,24℃,1,114
33℃,24℃,1,137
32℃,24℃,1,49
32℃,24℃,1,57
32℃,24℃,1,76
32℃,24℃,1,124
30℃,24℃,1,93
34℃,25℃,1,38
34℃,25℃,1,89
32℃,25℃,1,90
32℃,25℃,1,108
30℃,25℃,1,89
30℃,25℃,1,179
34℃,27℃,1,117
17℃,2℃,1,233
15℃,2℃,1,175
15℃,2℃,1,228
12℃,2℃,1,104
11℃,2℃,1,52
11℃,2℃,1,125
10℃,2℃,1,183
10℃,2℃,1,198
7℃,-2℃,1,39
5℃,-2℃,1,273
10℃,-2℃,1,147
9℃,3℃,1,101
17℃,3℃,1,317
16℃,3℃,1,91
15℃,3℃,1,33
15℃,3℃,1,100
11℃,3℃,1,122
9℃,-3℃,1,60
9℃,-3℃,1,120
8℃,-3℃,1,58
6℃,-3℃,1,98
6℃,-3℃,1,101
6℃,-3℃,1,190
3℃,-3℃,1,128
3℃,-3℃,1,429
2℃,-3℃,1,207
10℃,-3℃,1,115
15℃,4℃,1,39
15℃,4℃,1,295
9℃,-4℃,1,44
8℃,-4℃,1,68
8℃,-4℃,1,81
8℃,-4℃,1,255
8℃,-4℃,1,315
6℃,-4℃,1,51
5℃,-4℃,1,313
3℃,-4℃,1,288
7℃,5℃,1,155
20℃,5℃,1,40
19℃,5℃,1,125
15℃,5℃,1,47
4℃,-5℃,1,153
23℃,6℃,1,95
18℃,6℃,1,337
17℃,6℃,1,295
14℃,6℃,1,87
10℃,6℃,1,238
5℃,-6℃,1,245
4℃,-6℃,1,92
3℃,-6℃,1,192
2℃,-6℃,1,41
22℃,7℃,1,58
22℃,7℃,1,61
20℃,7℃,1,160
14℃,7℃,1,28
11℃,7℃,1,55
5℃,-7℃,1,43
4℃,-7℃,1,64
3℃,-7℃,1,34
3℃,-7℃,1,82
3℃,-7℃,1,142
3℃,-7℃,1,213
-2℃,-7℃,1,194
2℃,-7℃,1,72
26℃,8℃,1,173
22℃,8℃,1,101
20℃,8℃,1,108
18℃,8℃,1,55
17℃,8℃,1,77
15℃,8℃,1,101
4℃,-8℃,1,29
0℃,-8℃,1,35
21℃,9℃,1,87
15℃,9℃,1,82
-2℃,-9℃,1,145
-2℃,-9℃,1,194
